phrase,list
not,Fry (1-100)
now,Fry (1-100)
number,Fry (1-100)
of,Fry (1-100)
oil,Fry (1-100)
on,Fry (1-100)
one,Fry (1-100)
or,Fry (1-100)
other,Fry (1-100)
out,Fry (1-100)
part,Fry (1-100)
people,Fry (1-100)
said,Fry (1-100)
see,Fry (1-100)
she,Fry (1-100)
sit,Fry (1-100)
so,Fry (1-100)
some,Fry (1-100)
than,Fry (1-100)
that,Fry (1-100)
the,Fry (1-100)
their,Fry (1-100)
them,Fry (1-100)
then,Fry (1-100)
there,Fry (1-100)
these,Fry (1-100)
they,Fry (1-100)
this,Fry (1-100)
time,Fry (1-100)
to,Fry (1-100)
two,Fry (1-100)
up,Fry (1-100)
use,Fry (1-100)
was,Fry (1-100)
water,Fry (1-100)
way,Fry (1-100)
we,Fry (1-100)
were,Fry (1-100)
what,Fry (1-100)
when,Fry (1-100)
which,Fry (1-100)
who,Fry (1-100)
will,Fry (1-100)
with,Fry (1-100)
words,Fry (1-100)
would,Fry (1-100)
write,Fry (1-100)
you,Fry (1-100)
your,Fry (1-100)
after,Fry (101-200)
again,Fry (101-200)
air,Fry (101-200)
also,Fry (101-200)
America,Fry (101-200)
animal,Fry (101-200)
another,Fry (101-200)
answer,Fry (101-200)
any,Fry (101-200)
around,Fry (101-200)
ask,Fry (101-200)
away,Fry (101-200)
back,Fry (101-200)
because,Fry (101-200)
before,Fry (101-200)
big,Fry (101-200)
boy,Fry (101-200)
came,Fry (101-200)
change,Fry (101-200)
different,Fry (101-200)
does,Fry (101-200)
end,Fry (101-200)
even,Fry (101-200)
follow,Fry (101-200)
form,Fry (101-200)
found,Fry (101-200)
give,Fry (101-200)
good,Fry (101-200)
great,Fry (101-200)
hand,Fry (101-200)
help,Fry (101-200)
here,Fry (101-200)
home,Fry (101-200)
house,Fry (101-200)
just,Fry (101-200)
kind,Fry (101-200)
know,Fry (101-200)
land,Fry (101-200)
large,Fry (101-200)
learn,Fry (101-200)
letter,Fry (101-200)
line,Fry (101-200)
little,Fry (101-200)
live,Fry (101-200)
man,Fry (101-200)
me,Fry (101-200)
means,Fry (101-200)
men,Fry (101-200)
most,Fry (101-200)
mother,Fry (101-200)
move,Fry (101-200)
much,Fry (101-200)
must,Fry (101-200)
name,Fry (101-200)
need,Fry (101-200)
new,Fry (101-200)
off,Fry (101-200)
old,Fry (101-200)
only,Fry (101-200)
our,Fry (101-200)
over,Fry (101-200)
page,Fry (101-200)
picture,Fry (101-200)
place,Fry (101-200)
play,Fry (101-200)
point,Fry (101-200)
put,Fry (101-200)
read,Fry (101-200)
right,Fry (101-200)
same,Fry (101-200)
say,Fry (101-200)
sentence,Fry (101-200)
set,Fry (101-200)
should,Fry (101-200)
show,Fry (101-200)
small,Fry (101-200)
sound,Fry (101-200)
spell,Fry (101-200)
still,Fry (101-200)
study,Fry (101-200)
such,Fry (101-200)
take,Fry (101-200)
tell,Fry (101-200)
things,Fry (101-200)
think,Fry (101-200)
three,Fry (101-200)
through,Fry (101-200)
too,Fry (101-200)
try,Fry (101-200)
turn,Fry (101-200)
us,Fry (101-200)
very,Fry (101-200)
want,Fry (101-200)
well,Fry (101-200)
went,Fry (101-200)
where,Fry (101-200)
why,Fry (101-200)
work,Fry (101-200)
world,Fry (101-200)
years,Fry (101-200)
above,Fry (201-300)
add,Fry (201-300)
almost,Fry (201-300)
along,Fry (201-300)
always,Fry (201-300)
began,Fry (201-300)
begin,Fry (201-300)
being,Fry (201-300)
below,Fry (201-300)
between,Fry (201-300)
book,Fry (201-300)
both,Fry (201-300)
car,Fry (201-300)
carry,Fry (201-300)
children,Fry (201-300)
city,Fry (201-300)
close,Fry (201-300)
country,Fry (201-300)
cut,Fry (201-300)
don’t,Fry (201-300)
earth,Fry (201-300)
eat,Fry (201-300)
