phrase,list
radio,Fry (901-1000)
repeated,Fry (901-1000)
rope,Fry (901-1000)
rose,Fry (901-1000)
score,Fry (901-1000)
seat,Fry (901-1000)
settled,Fry (901-1000)
shoes,Fry (901-1000)
shop,Fry (901-1000)
similar,Fry (901-1000)
sir,Fry (901-1000)
sister,Fry (901-1000)
smell,Fry (901-1000)
solution,Fry (901-1000)
southern,Fry (901-1000)
steel,Fry (901-1000)
stretched,Fry (901-1000)
substances,Fry (901-1000)
suffix,Fry (901-1000)
sugar,Fry (901-1000)
tools,Fry (901-1000)
total,Fry (901-1000)
track,Fry (901-1000)
triangle,Fry (901-1000)
truck,Fry (901-1000)
underline,Fry (901-1000)
various,Fry (901-1000)
view,Fry (901-1000)
Washington,Fry (901-1000)
we’ll,Fry (901-1000)
western,Fry (901-1000)
win,Fry (901-1000)
women,Fry (901-1000)
workers,Fry (901-1000)
wouldn’t,Fry (901-1000)
wrong,Fry (901-1000)
yellow,Fry (901-1000)
